name,ra,dec,V,CaHK_0,CaHKerr,FeH_pris,FeH_FERRE,FeH_FERRE_err,temp_FERRE,temp_FERRE_err,logg_FERRE,logg_FERRE_err,C_Fe_FERRE,C_Fe_FERRE_err,q_flag,c_flag,prev_obs
P000.2379+33.9827,0.23789167,33.98274994,16.411,16.911,0.021,-2.73,-2.08,0.21,5767,112,3.6,0.5,-0.32,0.55,X,-1,nan
P000.6190+35.1308,0.61899167,35.13084412,14.680,15.372,0.020,-2.82,-2.31,0.20,5286,101,1.1,0.5,0.87,0.40,X,1,LAMOST
P001.0838+34.9718,1.08389580,34.97187424,15.043,15.430,0.020,-2.94,-2.68,0.20,6119,102,5.0,0.5,0.82,0.31,X,-1,nan
P001.5384+33.6675,1.53841662,33.66747665,15.913,16.167,0.020,-2.87,-2.49,0.20,6239,109,4.4,0.5,0.83,0.43,X,-1,nan
P002.1897+33.9718,2.18969178,33.97183228,16.471,16.765,0.020,-3.13,-2.58,0.27,6319,172,3.9,0.9,0.01,0.81,X,-1,nan
P002.2054+29.8931,2.20537925,29.89307022,16.229,16.826,0.021,-3.55,-2.89,0.20,5443,107,3.5,0.5,0.17,0.41,X,-1,nan
P002.2346+26.4433,2.23464584,26.44332504,16.134,16.830,0.020,-3.32,-3.01,0.20,5323,103,1.7,0.6,0.94,0.42,X,-1,nan
P002.2778+32.2590,2.27784586,32.25901413,15.841,16.194,0.020,-2.75,-2.95,0.21,5973,106,5.0,0.5,0.82,0.51,X,-1,nan
P002.4709+34.3708,2.47087073,34.37079620,15.961,16.339,0.020,-2.92,-2.08,0.20,6174,107,4.9,0.5,0.22,0.51,X,-1,nan
P002.4980+34.6720,2.49802494,34.67200470,14.913,15.682,0.020,-2.91,-2.37,0.20,5315,101,1.1,0.5,1.12,0.30,X,1,nan
P002.8380+27.7884,2.83800411,27.78841019,15.578,16.099,0.020,-3.52,-1.28,0.20,5874,107,1.8,0.6,-0.37,0.45,X,-1,nan
