#RA DEC Teff logg Fe dFe RV     
113.824  45.1863 6184 4.51 -2.29 0.16   0 
116.9657 33.5337 5245 2.15 -2.93 0.16   0 
133.0683 28.7219 5285 2.09 -2.84 0.19   0 
134.3232 17.697  6350 4.4  -2.63 0.16492422133836274 115.27 
16.2907  28.3957 5398 2.4  -2.93 0.2    0 
180.2206 9.5683  5050 1.86 -2.96 0.11661903529026739 22.12  
180.3206 2.5788  5400 2.53 -3.14 0.25   0 
180.379  0.947   5684 3.7  -0.74 0.19493588253902266 -57.47 
180.7918 3.4084  4800 3.7  -0.08 0.16970562369155506 21.2   
180.9118 11.3258 5800 3.8  -0.49 0.29999999329447746 33.98  
181.2243 7.416   6455 3.81 -2.92 0.24248711409202553 -146.7 
181.3119 11.685  5300 4.6  -1.84 0.08944271710079103 1.49   
181.3473 11.6698 5900 4.45 -0.49 0.09695359498124481 11.9   
181.4395 1.6294  4935 1.8  -2.5  0.16733200156665334 206.58 
181.6954 13.8076 5608 3.6  -0.8  0.30298514137861654 78.01  
182.167  3.4771  5350 4.45 -0.35 0.07615772935638114 -19.09 
182.5364 0.9431  6270 3.75 -1.74 0.21840329179672144 222.71 
182.5866 9.894   6371 4.51 -2.93 0.21   0 
182.8521 14.1594 4959 1.75 -1.79 0.18761662619937872 78.56  
183.685  4.8619  6491 4.44 -3.16 0.07071067917232597 41.0   
184.1783 1.0664  6207 3.64 -3.49 0.15   0 
184.2997 43.4721 5268 4.94 -3.29 0.28   0 
185.4112 7.4778  6304 4.53 -1.85 0.12489995717623631 175.18 
187.8517 13.456  5700 4.1  -0.45 0.09999999776482582 1.99   
187.9786 8.7294  5618 3.66 -0.5  0.08544003554344165 -54.11 
188.0262 0.2055  6393 4.55 -2.93 0.15   0 
188.1264 8.774   5600 3.6  -1.05 0.21166010015419526 -48.83 
189.9449 11.5535 6491 3.83 -2.57 0.14142135834465194 30.35  
190.2669 11.1092 5800 4.2  -0.34 0.2814249392990681  -15.71 
190.5813 12.8577 5800 4.2  -0.2  0.08888194218648962 4.42   
190.6313 8.5138  5500 3.8  -0.24 0.16370705177831119 -64.16 
191.8535 12.0508 6116 3.61 -3.85 0.37   0 
192.2121 15.9263 5600 4.3  0.25  0.13266498864892234 -4.56  
192.3242 13.3956 5814 3.46 -2.67 0.2    0 
192.4285 15.9119 5450 4.65 -0.49 0.08062257568093045 -62.24 
192.854  15.8199 5700 4.05 -0.2  0.09055384935733787 0.98   
192.9068 6.8314  5800 4.25 -0.35 0.1766352133784522  15.64  
193.1159 8.0557  6100 4.55 -1.85 0.21633307169241828 42.13  
193.1501 15.7966 5800 4.0  -0.31 0.09539391800947429 9.57   
193.5542 11.5036 5679 4.15 -0.3  0.08485281184577752 16.2   
193.839  11.415  4650 1.22 -2.91 0.07999999821186066 2.53   
194.9935 12.0585 5808 4.55 -3.14 0.17   0 
196.3755 8.5138  5012 1.73 -2.77 0.13711308894330446 -72.24 
196.4126 14.3177 5702 4.55 -0.44 0.08999999798834324 -49.36 
196.5323 8.7716  6483 4.55 -2.55 0.19595917504262525 -100.4 
196.5453 12.1211 5950 3.4  -2.51 0.12727921776866627 54.47  
196.6013 15.6768 5600 4.6  -0.69 0.08717797692223381 -103.91
197.5045 15.697  5920 4.05 -0.8  0.204939010738448   -59.46 
197.9861 12.3578 6050 3.8  -1.22 0.25455843553733254 114.83 
198.0851 8.9428  5862 3.39 -2.61 0.34   0 
198.5288 12.1493 6120 4.25 -0.59 0.19078783601894858 -26.75 
198.5495 11.4125 6494 4.35 -2.2  0.17233687554411142 74.45  
199.9269 8.3816  5300 4.55 -0.15 0.07483314606282764 3.17   
200.0999 13.7229 4750 1.24 -2.48 0.301993370660752   189.83 
200.5298 8.9768  5363 3.45 -1.02 0.2969848414602213  96.79  
200.762  9.4376  5650 4.35 -0.15 0.15874507511564642 33.26  
201.1159 15.4382 5589 4.4  -0.19 0.15874507511564642 -5.77  
203.2831 13.6326 5008 1.95 -2.7  0.22045407192295344 -139.55
204.9008 10.5513 6718 4.22 -2.66 0.23999999463558197 -246.62
205.1342 13.8234 5462 2.9  -2.12 0.24372114669148656 126.9  
205.8132 15.3832 6718 4.23 -2.13 0.17435595384446761 121.42 
206.3487 9.3099  6522 3.94 -1.8  0.1113552847676158  157.19 
207.3454 14.1268 6460 4.63 -3.16 0.1    0 
207.929  3.2767  6301 3.88 -3.2  0.21   0 
207.9961 1.1795  5450 4.4  -0.49 0.08426149584837235 36.17  
208.0799 4.4267  5572 2.97 -2.77 0.1615549406030007  -129.96
209.0986 9.8244  6153 3.7  -3.33 0.26   0 
209.2123 1.5275  5540 3.3  -1.9  0.25278448754511706 13.53  
209.7189 10.8613 6358 4.4  -1.98 0.14071246964953404 -136.51
209.9364 15.9251 6664 3.96 -2.25 0.13416407565118654 -91.43 
21.6938  29.0039 5878 3.54 -3.27 0.41   0 
21.9576  32.4131 5343 2.02 -3.21 0.3    0 
210.0175 14.6289 5150 2.37 -2.67 0.06782329831528379 -74.32 
210.7513 12.7744 4652 1.35 -2.12 0.1822086675102048  40.58  
210.8633 8.1798  5542 3.31 -1.95 0.24372114669148656 -12.33 
211.2766 10.328  5740 3.75 -1.39 0.18761662619937872 44.59  
211.7184 15.5516 4750 1.31 -2.42 0.17776388437297924 -111.27
212.5834 10.5365 6222 4.55 -1.79 0.20566963341495667 -125.5 
213.7878 8.4232  5289 2.45 -2.45 0.22045407192295344 -106.36
214.5557 7.467   6482 4.1  -2.14 0.15491933038557973 47.24  
215.6129 15.0163 5180 2.62 -1.92 0.09273618288214178 -120.21
215.6783 7.6929  5527 4.0  -0.35 0.17204650149531348 9.5    
216.1245 10.2135 5412 2.88 -2.21 0.23999999463558197 106.05 
217.3862 15.1651 5700 3.3  -1.97 0.24186772704279136 -161.83
217.5786 14.0379 4968 1.64 -2.66 0.075498342665188   -17.17 
217.6444 15.9634 6550 4.17 -1.82 0.14696938128196893 -19.95 
218.4256 7.5213  5500 3.8  -0.6  0.09539391800947429 11.45  
218.4622 10.3683 5923 3.5  -2.4  0.14696938128196893 -125.4 
218.4977 15.7251 5150 4.4  -0.16 0.07071067653814793 -32.61 
221.8781 9.7844  5683 3.03 -4.4  0.13   0 
