#RA DEC Teff logg Fe dFe RV
110.0459 +43.0522 5260 2.62 -2.42 0.24 −84.9 
110.4208 +40.8947 5643 3.6  -1.57 0.4  −85.5 
111.5919 +44.0179 6166 3.8  -0.7  0.2  −51.4 
112.0456 +43.9914 6370 4.0  -0.53 0.24  15.3   
112.3237 +44.2279 6319 4.29 -0.87 0.22 −0.9  
112.5667 +45.9455 6400 3.85 -0.76 0.15 −67.3 
112.6119 +45.7784 6266 4.13 -0.77 0.16  22.1   
113.0244 +45.6965 6165 4.0  -0.13 0.26 −19.4 
113.4132 +41.9324 6183 4.0  -1.02 0.24  1.0    
113.4275 +45.6423 6410 4.0  -0.49 0.31 −13.9 
113.6421 +45.4681 6043 3.9  -0.58 0.18  8.6    
130.4019 +17.3976 5753 4.28 -0.1  0.32  56   
134.5085 +15.3492 6493 4.52 -2.21 0.4  −21 
134.8974 +18.1561 5624 2.77 -3.37 0.2  −73 
140.1321 +16.4130 6404 3.14 -1.7  0.3   133  
140.6414 +16.7636 6388 4.34 -1.9  0.3   77   
145.6718 +12.8405 5079 2.02 -2.53 0.22  156  
149.5692 +15.4688 5104 2.43 -1.98 0.38  65   
149.7205 +15.3115 6377 4.81 -2.64 0.3  −57 
151.5308 +12.3833 5859 4.08 -0.24 0.2   41   
151.6456 +15.9545 5058 2.91 -2.84 0.4   82   
180.1247 +03.4435 5344 3.72 -2.04 0.31  52   
180.6670 +13.3324 6210.0 4.54 -0.60  0.15 30.0  
180.8898 +15.6500 6500 4.1  -1.71 0.17  15.7   
180.8913 +11.3199 6290.0 4.28 -0.51  0.15 15.3  
180.8994 +16.3260 4970 2.36 -1.04 0.13 −17.8 
181.0906 +07.1880 5027 2.08 -2.67 0.17  170  
181.4437 +13.4888 6097 4.43 -0.88 0.15 −45.7 
181.5243 +03.3550 6015 4.18 -1.74 0.48  49   
182.2972 +13.1228 6521 4.39 -1.46 0.17  92.0   
183.0629 +00.4536 6548 4.68 -1.78 0.3  −7  
183.1390 +16.1839 5130 3.54 -0.51 0.15 −13.0 
183.4550 +17.0927 6725 3.83 -0.82 0.12  40.8   
184.2955 +02.2702 5713 2.27 -2.51 0.3   139  
185.0799 +14.6464 6240.0 3.24 -1.48  0.15 162.5 
185.3534 +06.6021 6641 4.15 -1.54 0.4   47   
