  ID  RA          DEC        FeH        FeHerr CFe        CaFe 
  7   209.898056  14.3399162 -2.3299999 0.05   -0.5       0.23 
  9   209.9533844 14.3285837 -2.6400001 0.14   -0.55      0.18 
  33  210.0488892 14.4170561 -2.3199999 0.16   0.3        0.14 
  41  210.1076202 14.4354448 -1.88      0.16   -0.65      0.28 
  94  210.1312866 14.567667  -2.9400001 0.16   -0.45      0.3  
  117 210.0437012 14.5293055 -2.1800001 0.16   -0.3       0.2  
  119 210.0410309 14.4730272 -3.3299999 0.16   -9.9899998 0.46 
  121 210.1521606 14.6575832 -2.49      0.19   -0.25      0.24 
  127 210.0607147 14.5979719 -2.01      0.16   -0.25      0.16 
  130 209.9540863 14.5017223 -2.3199999 0.16   -0.4       0.19 
  911 210.0045013 14.6143055 -2.1600001 0.23   -0.55      -0.01
  980 209.8028333 13.7155000 -3.06	0.20   -0.40	  0.29	
