LAMOST,Sname,RAdeg,DEdeg,Teff_li,e_Teff_li,logg_li,e_logg_li,FeH_li,e_FeH_li,sng,rv,rv_err
J000003.67+352146.0,"spec-56262-VB002N36V2_sp02-179          ",0.015308,35.362774,6000.0,150.0,2.46,0.69,-2.79,0.26,61.5,-214.73,3.97
J000100.49+372356.8,"spec-57011-M31002N36B1_sp14-088         ",0.252055,37.399113,6132.3,215.5,3.3,0.6,-2.61,0.28,19.0,-262.84,9.64
J000130.90+364056.4,"spec-57011-M31002N36B1_sp03-070         ",0.378758,36.68233,5922.6,170.3,3.38,0.63,-2.39,0.17,30.6,-252.58,8.02
J000137.20+350651.1,"spec-56948-M31001N35M2_sp03-009         ",0.405,35.114185,5947.0,197.5,3.9,0.5,-2.17,0.17,22.2,-186.55,10.83
J000150.63+113921.8,"spec-56214-EG000024N121601B01_sp08-164  ",0.460967,11.656046,6250.0,203.1,3.35,0.6,-2.03,0.14,20.8,-113.37,5.4
J000151.46+353921.8,"spec-56262-VB002N36V2_sp10-171          ",0.464397,35.656063,6210.5,190.5,3.11,0.67,-2.24,0.12,49.2,-204.86,4.4
J000220.64+413404.1,"spec-56985-M31000N42B2_sp05-108         ",0.585985,41.567814,5500.0,203.1,3.35,0.52,-2.29,0.12,35.4,-391.28,5.91
J000230.54+462026.1,"spec-56619-HD235547N481312B01_sp07-221  ",0.62723,46.340572,6224.0,189.6,3.29,0.58,-2.21,0.17,75.5,-261.74,4.41
J000232.81+263343.2,"spec-56648-VB003N26V1_sp10-104          ",0.636722,26.56199,5495.4,254.8,3.08,0.5,-2.23,0.12,53.8,-291.58,5.85
J000235.04+034337.5,"spec-56618-EG000954N044957B01_sp10-036  ",0.645994,3.727085,6416.2,133.9,3.53,0.56,-3.38,0.26,64.9,-62.59,8.53
J000319.74+412945.6,"spec-56985-M31000N42B1_sp05-123         ",0.83226,41.495995,6186.1,186.2,3.18,0.62,-2.5,0.18,76.6,-132.94,3.65
J000403.45+410050.7,"spec-56985-M31000N42B1_sp08-202         ",1.014361,41.014084,6061.5,149.3,2.97,0.66,-2.3,0.17,88.3,-220.12,3.4
J000419.75+475545.0,"spec-56619-HD235547N481312V01_sp08-085  ",1.0823,47.929165,6382.5,155.1,3.71,0.5,-2.3,0.17,31.3,-234.38,5.75
J000425.19+360621.9,"spec-56948-M31001N35M2_sp04-039         ",1.104951,36.10607,6100.7,169.9,3.81,0.53,-2.19,0.17,27.4,-275.05,5.56
J000454.03+352401.1,"spec-56262-VB002N36V1_sp05-212          ",1.225128,35.400295,5381.2,155.7,2.59,0.53,-2.75,0.18,110.9,-88.91,2.8
J000455.53+252806.6,"spec-56648-VB003N26V2_sp02-098          ",1.231375,25.46849,5988.0,193.5,3.32,0.56,-2.24,0.17,39.7,-188.91,5.32
J000507.38+061814.9,"spec-56618-EG000954N044957B01_sp16-160  ",1.280734,6.30415,6132.3,215.5,3.24,0.67,-2.04,0.17,88.6,-194.77,5.8
J000607.07+051718.7,"spec-56618-EG000954N044957B01_sp03-210  ",1.529464,5.288523,6250.0,150.0,3.43,0.63,-2.3,0.17,38.6,-99.51,12.51
J000611.12+031411.7,"spec-56618-EG000954N044957V01_sp02-233  ",1.546326,3.23657,5500.0,150.0,3.1,0.46,-2.64,0.21,85.1,-123.84,3.01
J000611.96+362553.4,"spec-56262-VB002N36V2_sp04-190          ",1.549833,36.431503,6132.3,215.5,3.24,0.67,-2.09,0.17,131.2,-15.86,3.65
J000619.66+041840.6,"spec-56618-EG000954N044957B01_sp03-029  ",1.581936,4.311272,6197.0,197.5,3.26,0.57,-2.06,0.17,34.0,-104.59,7.0
J000619.67+041840.6,"spec-55893-F9302_sp03-033               ",1.581977,4.311274,6094.1,192.5,1.97,0.58,-2.32,0.14,20.2,-118.0,9.96
J000637.82+012343.3,"spec-56213-EG000023N024031B01_sp07-197  ",1.657593,1.395354,5500.0,192.1,2.52,0.55,-2.58,0.21,47.5,-68.6,3.85
J000651.18+032137.4,"spec-56618-EG000954N044957V01_sp02-232  ",1.713235,3.360393,5168.6,326.7,4.13,0.34,-2.45,0.19,63.0,168.72,3.83
J000651.89+070619.5,"spec-56618-EG000954N044957B01_sp11-151  ",1.716212,7.10541,5959.9,210.0,3.35,0.6,-2.03,0.12,63.2,-44.97,4.44
J000741.79+352204.3,"spec-56948-M31001N35M2_sp04-120         ",1.924145,35.36785,6186.1,186.2,3.14,0.79,-2.88,0.29,29.8,-203.86,5.78
J000742.40+032240.8,"spec-56618-EG000954N044957B01_sp05-207  ",1.926686,3.377996,6084.1,225.0,2.78,0.76,-2.11,0.17,26.6,-250.45,6.84
J000749.30+291917.7,"spec-56257-VB002N31V3_sp01-080          ",1.9554,29.32158,6183.4,203.7,3.38,0.58,-2.25,0.17,34.6,-46.89,4.57
J000827.67+063147.9,"spec-56618-EG000954N044957B01_sp11-090  ",2.115302,6.529972,6050.6,183.4,2.62,0.72,-2.37,0.17,121.4,-118.31,3.16
J000828.11+073949.3,"spec-56919-EG001605N080655B01_sp10-061  ",2.117118,7.663704,5959.9,210.0,3.35,0.6,-2.1,0.12,29.7,-113.02,5.22
J000834.20+342558.0,"spec-56948-M31001N35M2_sp08-123         ",2.142505,34.432766,6750.0,150.0,3.37,0.57,-2.3,0.23,25.8,-75.58,6.69
J000843.19+071230.7,"spec-56919-EG001605N080655B01_sp10-040  ",2.179951,7.208541,6197.0,197.5,3.26,0.57,-2.06,0.17,70.6,-140.42,3.1
J000914.09+172821.0,"spec-56199-EG000313N173308V_2_sp09-245  ",2.308729,17.472486,5720.5,254.5,3.24,0.6,-2.02,0.12,35.5,-121.21,3.87
J000916.16+015114.3,"spec-56978-EG001639N015102M01_sp14-196  ",2.317328,1.853985,6250.0,150.0,3.14,0.63,-2.46,0.18,90.5,-154.28,3.54
J000944.06+082935.8,"spec-56919-EG001605N080655B01_sp14-071  ",2.433604,8.493286,6448.1,182.2,3.32,0.64,-2.26,0.2,27.3,-228.28,6.96
J001004.23+182339.3,"spec-56199-EG000313N173308V_1_sp13-165  ",2.517631,18.394258,5918.6,208.9,3.72,0.44,-2.09,0.17,16.8,-36.34,5.86
J001021.47+065345.8,"spec-56919-EG001605N080655B01_sp02-196  ",2.589468,6.896062,5274.1,202.1,2.81,0.62,-2.16,0.2,15.5,-61.88,7.31
J001047.67+361754.3,"spec-56948-M31001N35M2_sp09-186         ",2.698634,36.298416,5500.0,150.0,3.98,0.41,-2.51,0.17,30.4,-233.1,5.03
J001051.42+311752.4,"spec-56257-VB002N31V3_sp04-236          ",2.71427,31.297884,6170.8,188.5,3.41,0.57,-2.05,0.17,63.3,-33.22,3.27
J001101.91+380407.6,"spec-56642-VB005N38V1_sp10-002          ",2.757977,38.06877,6000.0,130.1,3.12,0.71,-2.38,0.17,39.6,-280.48,5.03
J001105.51+284529.4,"spec-56648-VB003N26V2_sp16-101          ",2.772962,28.758171,5770.0,233.8,3.81,0.48,-2.14,0.12,30.6,-34.4,7.73
J001106.84+081041.8,"spec-56919-EG001605N080655B01_sp03-061  ",2.778501,8.17827,6148.1,154.5,3.24,0.6,-2.33,0.17,118.9,-151.11,4.01
J001122.89+085622.8,"spec-56919-EG001605N080655B01_sp15-074  ",2.845392,8.939656,5401.6,229.9,2.68,0.57,-2.47,0.12,45.0,-191.67,3.56
J001128.60+351049.5,"spec-57011-M31002N36B1_sp08-206         ",2.869162,35.180405,6303.0,197.5,3.41,0.54,-2.15,0.12,46.6,-177.06,9.62
J001128.71+271042.8,"spec-56576-EG002045N263049B01_sp14-112  ",2.869609,27.178558,5988.0,193.5,3.24,0.6,-2.24,0.17,28.1,-19.03,5.76
J001129.75+031943.7,"spec-56618-EG000954N044957B01_sp01-130  ",2.873953,3.328801,6158.8,171.5,3.73,0.51,-2.28,0.17,95.2,-157.84,3.71
J001137.33+474628.1,"spec-56596-VB002N48V1_sp04-134          ",2.905524,47.774464,5238.0,193.5,1.82,0.52,-2.44,0.17,81.5,-106.56,3.08
J001144.78+023340.1,"spec-56978-EG001639N015102M01_sp15-060  ",2.936602,2.561138,6250.0,150.0,3.21,0.63,-2.74,0.25,35.7,-70.09,5.51
J001148.95+042318.0,"spec-55893-F9302_sp08-226               ",2.953954,4.388347,6225.9,202.1,3.45,0.58,-2.15,0.12,19.4,-212.0,8.28
J001210.15+384246.4,"spec-56611-VB002N40V3_sp07-043          ",3.042304,38.71288,5959.9,210.0,3.35,0.6,-2.13,0.12,24.2,-383.21,7.25
J001248.06+064139.6,"spec-56618-EG000954N044957B01_sp12-051  ",3.200269,6.694342,6168.6,208.9,3.51,0.56,-2.06,0.12,29.2,-201.71,7.35
J001313.71+033337.6,"spec-56618-EG000954N044957B01_sp08-224  ",3.30713,3.560458,5918.6,208.9,3.32,0.56,-2.16,0.17,134.6,-165.05,3.82
J001317.38+054756.0,"spec-56919-EG001605N080655B01_sp01-245  ",3.322408,5.79888,5770.0,233.8,3.67,0.47,-2.32,0.14,20.0,-334.12,8.11
J001322.89+092405.3,"spec-56919-EG001605N080655B01_sp15-152  ",3.345371,9.40146,5987.8,212.3,3.18,0.65,-2.02,0.12,105.0,-26.6,3.27
J001352.75+084918.4,"spec-56919-EG001605N080655B01_sp15-241  ",3.469804,8.821787,5477.0,327.1,4.16,0.34,-2.13,0.12,40.1,159.88,4.82
J001355.62+363211.0,"spec-56262-VB002N36V3_sp08-036          ",3.481731,36.5364,5040.1,210.0,1.66,0.58,-2.33,0.18,29.1,-246.37,3.94
J001357.21+063410.5,"spec-56919-EG001605N080655B01_sp02-068  ",3.488357,6.569585,6000.0,150.0,2.97,0.64,-2.38,0.17,46.4,-303.33,4.25
J001357.89+342614.3,"spec-56948-M31001N35M2_sp06-222         ",3.491191,34.437294,6079.2,188.5,2.97,0.58,-2.03,0.12,20.5,-136.12,8.6
J001359.58+251216.3,"spec-56576-EG002045N263049B01_sp02-180  ",3.498239,25.20454,5959.9,210.0,3.67,0.53,-2.07,0.17,75.1,-234.38,3.75
J001403.83+015641.6,"spec-56978-EG001639N015102M01_sp03-153  ",3.515949,1.9449,5918.6,208.9,3.68,0.51,-2.11,0.17,21.4,-220.89,8.97
J001408.20+435637.5,"spec-57012-M31004N46B1_sp01-230         ",3.534152,43.943752,6000.0,203.1,3.03,0.67,-2.05,0.17,26.3,-88.21,9.49
J001409.15+085514.6,"spec-56919-EG001605N080655B01_sp15-247  ",3.538127,8.920736,6166.2,133.9,3.19,0.62,-2.76,0.24,78.1,-245.93,3.11
J001416.57+013704.8,"spec-56978-EG001639N015102M01_sp03-184  ",3.569033,1.618002,6037.3,135.1,3.53,0.56,-2.12,0.17,28.6,-147.56,9.43
J001431.14+025445.1,"spec-55893-F9302_sp07-221               ",3.629755,2.91252,6237.8,212.3,3.51,0.54,-2.43,0.14,21.9,-166.31,10.58
J001443.06+351943.6,"spec-56948-M31001N35M2_sp06-040         ",3.679399,35.328777,5664.1,281.3,3.93,0.38,-2.17,0.17,28.8,-31.42,6.63
J001444.90+075715.6,"spec-56919-EG001605N080655B01_sp04-200  ",3.687094,7.954324,5505.5,270.7,4.24,0.34,-2.12,0.12,59.3,-71.5,3.63
J001447.37+054856.7,"spec-56618-EG000954N044957B01_sp13-162  ",3.697365,5.815739,5946.3,217.1,3.48,0.58,-2.03,0.14,87.0,-69.36,3.57
J001451.80+350042.0,"spec-56948-M31001N35M2_sp06-195         ",3.715849,35.011677,5531.4,273.0,2.57,0.6,-2.13,0.12,27.2,-277.19,6.23
J001451.83+254511.0,"spec-56576-EG002045N263049B01_sp10-151  ",3.715973,25.753069,5959.9,210.0,3.29,0.67,-2.06,0.12,25.8,-43.33,8.14
J001459.85+085250.8,"spec-56919-EG001605N080655B01_sp15-190  ",3.749388,8.880765,5422.6,170.3,2.72,0.57,-2.56,0.18,45.4,-98.08,4.34
J001503.40+361406.7,"spec-57011-M31002N36B1_sp08-073         ",3.764175,36.23519,5322.0,239.2,4.19,0.34,-2.93,0.17,58.2,-11.15,4.19
J001521.50+103628.6,"spec-56919-EG001605N080655B01_sp11-143  ",3.839591,10.607934,4957.5,262.1,2.09,0.54,-2.22,0.17,23.6,18.11,8.03
J001523.41+552327.7,"spec-56982-HD000408N565515B01_sp07-084  ",3.847538,55.391037,5893.9,174.4,2.96,0.74,-2.28,0.14,29.2,-82.23,6.98
J001540.25+084305.4,"spec-56919-EG001605N080655B01_sp04-044  ",3.917723,8.718179,6333.8,133.9,3.9,0.49,-2.64,0.2,40.2,11.07,4.63
J001548.02+363517.4,"spec-56642-VB005N38V1_sp02-250          ",3.950071,36.588177,5834.2,260.9,4.22,0.34,-2.1,0.17,19.8,22.52,4.87
J001548.81+084903.9,"spec-56919-EG001605N080655B01_sp15-198  ",3.953394,8.81776,5913.8,245.1,3.23,0.68,-2.14,0.12,26.2,-96.67,5.35
J001549.21+011615.3,"spec-56978-EG001639N015102M01_sp04-140  ",3.955046,1.270909,6209.9,210.0,3.35,0.6,-2.03,0.12,37.8,-61.07,5.31
J001549.35+032328.5,"spec-56618-EG000954N044957B01_sp07-073  ",3.95564,3.391248,5445.1,258.2,4.12,0.39,-2.25,0.12,43.6,-177.94,5.6
J001550.82+270157.6,"spec-56576-EG002045N263049V01_sp03-116  ",3.96174,27.032675,6141.5,195.1,3.56,0.54,-2.04,0.17,77.9,-279.38,3.9
J001551.41+102741.8,"spec-56919-EG001605N080655B01_sp11-139  ",3.964207,10.461607,6175.0,155.2,2.67,0.74,-2.8,0.24,38.6,-256.84,5.04
J001606.59+291056.8,"spec-56648-VB003N26V2_sp11-030          ",4.027444,29.182438,6170.8,188.5,3.59,0.48,-2.19,0.17,75.7,-148.29,3.92
J001609.69+440619.6,"spec-57012-M31004N46B1_sp01-050         ",4.040376,44.105446,6141.5,195.1,3.45,0.62,-2.04,0.17,83.0,-5.84,4.16
J001625.36+360543.9,"spec-56952-M31005N35M1_sp03-123         ",4.10567,36.095524,6024.1,202.1,3.38,0.53,-2.07,0.12,16.9,-273.44,7.45
J001632.91+061101.1,"spec-56919-EG001605N080655B01_sp01-093  ",4.137125,6.183632,5898.7,250.9,3.11,0.67,-2.2,0.17,118.3,-241.48,3.94
J001647.44+070951.9,"spec-56919-EG001605N080655B01_sp05-110  ",4.197687,7.164426,6000.0,203.1,2.84,0.76,-2.04,0.17,32.9,-200.94,5.14
